Id,Title,Description,Video url,Created at,Updated at,Method index
48,Finish and serve,"Make holes in the top of the brownie mixture using a teaspoon and fill each generously with the jam. Place into the microwave and cook for 3–4 minutes on high. Remove and leave to cool for 15 minutes (it needs to rest to continue cooking). Serve on its own or with ice cream, cream or custard if desired. ","",2021-05-24 12:17:05 UTC,2021-05-24 12:17:05 UTC,3
47,Make batter and microwave it,"Add the butter and peanut butter to another microwaveable bowl and cook, covered, on High for 30 seconds until melted. Remove from the microwave and stir thoroughly. Leave to cool slightly then add the egg and stir to combine. Tip the peanut butter mixture into the greased dish then sieve in the cocoa powder and flour and tip in the sugar. Mix gently to form a thick, sticky paste. Smooth the top of the mixture with a spoon. ","",2021-05-24 12:16:41 UTC,2021-05-24 12:16:41 UTC,2
46,Grease the dish,Grease a 15cm/6in round microwaveable dish.,"",2021-05-24 12:16:01 UTC,2021-05-24 12:16:01 UTC,1
45,Finish and serve,"To serve, top with the reserved cherries and drizzle with the melted chocolate.","",2021-05-24 12:15:17 UTC,2021-05-24 12:15:17 UTC,4
44,Grease mug and microwave the batter,"Grease two mugs with butter, then spoon the mixture into each until three-quarters full. Cover each with cling film, place in the microwave and cook on full power for 2 minutes. Remove the cling film and cook for a further 30 seconds, or until risen and cooked through.","",2021-05-24 12:14:58 UTC,2021-05-24 12:14:58 UTC,3
43,Fold the rest of the ingredients,"Add the flour, baking powder, cherries and cherry juice and fold together until smooth.","",2021-05-24 12:14:14 UTC,2021-05-24 12:14:14 UTC,2
42,Mix the ingredients,"Place the chocolate, butter, eggs and sugar into a bowl and mix together well.","",2021-05-24 12:13:45 UTC,2021-05-24 12:13:45 UTC,1
41,Finish and serve,"Place the second piece of toast on top, then repeat the layering again finishing with the final piece of toast. Cut the sandwich diagonally in both directions to create 4 triangles, securing each with a cocktail stick.","",2021-05-24 12:13:04 UTC,2021-05-24 12:13:04 UTC,5
40,Slice and place chicken,Slice each large piece of chicken breast into 4 or 5 equal pieces on a diagonal so they are easy to spread across the sandwich.,"",2021-05-24 12:12:36 UTC,2021-05-24 12:12:36 UTC,4
39,Toast the bread and add fillings,"Meanwhile, toast the bread to your liking. Spread each slice with a teaspoon of mayonnaise. Build the sandwich by adding lettuce leaves and tomato slices to the bottom piece of toast, season with salt and black pepper, then top with a slice of the crisp hot bacon.","",2021-05-24 12:11:47 UTC,2021-05-24 12:11:47 UTC,3
38,Prep and fry the chicken,"Slice the chicken breast horizontally in two, so you have two thinner pieces. Season with salt and pepper, then fry the chicken in the hot bacon fat over a medium–high heat until they are browned and completely cooked through.","",2021-05-24 12:10:57 UTC,2021-05-24 12:10:57 UTC,2
37,Fry the bacon,"Heat a frying pan over a medium heat. Add a drizzle of oil, then the bacon slices to the pan and fry for 5–10 minutes, turning the bacon every so often, until it is crisp and browned all over. Transfer to a plate lined with kitchen paper. ","",2021-05-24 11:59:27 UTC,2021-05-24 11:59:27 UTC,1
36,Plate and serve,"To serve, put the slice of toast in the middle of the plate. Spoon over the scrambled eggs, place the smoked salmon on top and season with lots of black pepper. ","",2021-05-24 11:57:20 UTC,2021-05-24 11:57:20 UTC,3
35,Cook the eggs,"Add in the eggs, stirring constantly. Cook the scrambled eggs slowly to make sure they stay creamy - no less than 5 minutes. Once thick add the milk. Remove from the heat and season with salt and pepper.","",2021-05-24 11:56:36 UTC,2021-05-24 11:56:36 UTC,2
34,Melt the butter,"For the scrambled eggs, melt the butter in a saucepan over a low heat.","",2021-05-24 11:55:26 UTC,2021-05-24 11:55:26 UTC,1
33,Plate and serve,"Put the mushrooms on a serving plate, sprinkle over the chopped chives and serve. ","",2021-05-24 11:53:25 UTC,2021-05-24 11:53:25 UTC,5
32,Stuff and roast the mushrooms,"Spoon the mixture into the baked mushrooms. Put the blue cheese on top and sprinkle breadcrumbs all over. Roast the mushrooms for a further 6 minutes, or until the top is golden and bubbling.","",2021-05-24 11:51:58 UTC,2021-05-24 11:51:58 UTC,4
31,Sautee mushroom stalks,"Heat the olive oil in a frying pan, add the onion and garlic and fry until soft. Add the chopped mushroom stalks and pepper and cook until softened.","",2021-05-24 11:49:00 UTC,2021-05-24 11:49:00 UTC,3
30,Prep and bake the mushrooms,Put the portobello mushrooms on a baking tray. Divide the unsalted butter between each mushroom. Season with salt and pepper and put a sprig of fresh thyme in both the mushrooms. Bake for 10 minutes. ,"",2021-05-24 11:48:26 UTC,2021-05-24 11:48:26 UTC,2
29,Preheat oven,Preheat the oven to 200C/180C Fan/Gas 6.,"",2021-05-24 11:47:05 UTC,2021-05-24 11:47:05 UTC,1
28,Fill and finish the potatoes,"Spoon back into the potato skins, sit on a baking sheet and scatter over the remaining cheese. Grill until the cheese is bubbling and pale golden-brown.","",2021-05-24 11:42:23 UTC,2021-05-24 11:42:23 UTC,5
27,Prep the filling,"Split the baked potatoes in half and scoop out most of the fluffy flesh with a fork into a bowl. For the filling, flake in the smoked mackerel and add the parsley or chives, three-quarters of the cheese, the horseradish or mustard and butter and stir with the potato flesh until just combined. Season, to taste, with salt and freshly ground black pepper.","",2021-05-24 11:41:52 UTC,2021-05-24 11:41:52 UTC,4
26,Preheat grilling,Preheat the grill to medium-high.,"",2021-05-24 11:41:22 UTC,2021-05-24 11:41:22 UTC,3
25,Bake the potatoes,"Wash the potatoes well, dry them and prick several times with a fork. Pour some olive oil into your hands and rub over the potatoes, then scatter over some sea salt which should stick to the oil. Place directly on the shelf in the oven and bake for 1¼-1½ hours, depending on the size of the potato. When cooked, the potato should be golden-brown and crisp on the outside and give a little when squeezed. Serve split open with lots of salted butter or try one of the fillings below.","",2021-05-24 11:41:03 UTC,2021-05-24 11:41:03 UTC,2
24,Preheat oven,Preheat the oven to 200C/400F/Gas 6.,"",2021-05-24 11:38:28 UTC,2021-05-24 11:38:28 UTC,1
23,Drain and serve,Drain the pasta and vegetables and stir through the pesto. Serve.,"",2021-05-24 11:35:59 UTC,2021-05-24 11:35:59 UTC,2
22,Cook pasta and veggies,Cook the spaghetti according to the packet instructions. Add the kale and peas for the last 1–2 minutes of the cooking time. ,"",2021-05-24 11:35:36 UTC,2021-05-24 11:35:36 UTC,1
21,Incorporate the pasta,"Toss the pasta through the sauce, then serve in a warm bowl and sprinkle over the pine nuts.","",2021-05-24 11:34:41 UTC,2021-05-24 11:34:41 UTC,3
20,Reduce the sauce,"Add the white wine and cook until the volume of liquid has reduced by half. Add the cream and simmer for 5 minutes, then add the parsley and check the seasoning again.","",2021-05-24 11:05:32 UTC,2021-05-24 11:05:32 UTC,2
19,Sautee the ingredients,Melt the butter with the olive oil in a frying pan and fry the onion and garlic until soft. Add the mushroom and cook until soft. Season well with salt and pepper.,"",2021-05-24 11:05:04 UTC,2021-05-24 11:05:04 UTC,1
18,Dipping,Line the dish or plate where you will place the strawberries with parchment paper (to avoid chocolate sticking). Dip the strawberry. Shake off excess chocolate. Place on parchment paper. For the decorative stripes (optional) use a spoon to drizzle lines on top. Add any other garnishes (e.g. chopped nuts) before chocolate cools down.,https://res.cloudinary.com/juliaf1/video/upload/v1616692986/Cuukin%20-%20Skill%20Videos/method_choco_3_qnp2iw.mp4,2021-03-13 17:53:27 UTC,2021-03-25 17:30:04 UTC,3
17,Prepare the chocolate,"If you got bar chocolate, cut it up to chunks of similar size to chocolate chips (this is not needed if you bought chocolate chips). Place 80% of the chocolate chips in microwave safe glass and microwave at medium power (400-600W) at 30 second intervals, stirring after each interval. The number of interval depends on the amount of chocolate, so keep on checking when it's all smooth and melted. Once your chocolate is melted, add the remaining 20% of chips, mix until smooth to temper the chocolate.",https://res.cloudinary.com/juliaf1/video/upload/v1616692981/Cuukin%20-%20Skill%20Videos/method_choco_2_lmkqwf.mp4,2021-03-13 17:53:27 UTC,2021-03-25 17:30:13 UTC,2
16,Clean and dry the strawberries,"Soak the strawberries in plenty of cold water. Optionally you can add some vinegar in the water for a proper wash (if you do, rinse strawberries in cold water after). Drain the water. Pat dry the strawberries with paper towels.",https://res.cloudinary.com/juliaf1/video/upload/v1616692959/Cuukin%20-%20Skill%20Videos/method_choco_1_jta2fw.mp4,2021-03-13 17:53:27 UTC,2021-03-25 17:30:23 UTC,1
15,Stuff the mushroom & bake,"Dry the excess of water from the mushrooms; they might have sweated after salting. Stuff the mushrooms with the filling. Top the filling with freshly grated parmegianno.
Bake in the middle rack of the oven for 15 min. It is ready when the cheese is golden. You can put a touch of black pepper before serving.",https://res.cloudinary.com/juliaf1/video/upload/v1617650888/Cuukin%20-%20Skill%20Videos/method_stuffedmushrooms_4_zqc6fr.mp4,2021-03-13 17:53:27 UTC,2021-04-05 19:28:39 UTC,4
13,Preheat the oven & toast the bread,"Preheat the oven at 180ºC and toast the bread until it's brown and crispy. Don't worry if the bread gets dry, it will get moisture with the mushrooms' filling.",https://res.cloudinary.com/juliaf1/video/upload/v1617650816/Cuukin%20-%20Skill%20Videos/method_stuffedmushrooms_1_jfmyb5.mp4,2021-03-13 17:53:27 UTC,2021-04-05 19:28:16 UTC,1
12,Prep the mushrooms,"Dampen a paper towel and use it to wipe the top of the cap. This keeps the mushroom flavor better than running it under water.
Using a chef knife or pairing knife, cut the bottom 1/3 of the stalk (it's usually dry and not as tasty). Then use a spoon to scrape out the gills (the black curtains on the underside of the cap. Gills are edible but often trap some dirt in.",https://res.cloudinary.com/juliaf1/video/upload/v1617650897/Cuukin%20-%20Skill%20Videos/method_stuffedmushrooms_2_vrfrd8.mp4,2021-03-13 17:53:27 UTC,2021-04-05 19:28:27 UTC,2
11,Prep the filling,"Chop the parsley and dice the toasted bread into 0.5 inch cubes. Add the cream cheese and parsley to a small bowl, and grate lemon zest. Add the bread and season the filling to taste with salt, pepper and olive oil. Mix everything until it is uniform.",https://res.cloudinary.com/juliaf1/video/upload/v1617654043/Cuukin%20-%20Skill%20Videos/method_stuffedmushrooms_3_f1bcbc.mp4,2021-03-13 17:53:27 UTC,2021-04-05 20:20:58 UTC,3
10,Plating,"Place the avocado slices on the toasted bread. You can ""fan"" them out if you want to create a rose flower effect. Sprinkle generous amount of salt on top and some black pepper or chili flakes if you like. You can also add a few drops of extra virgin olive oil if you like the flavor.",https://res.cloudinary.com/juliaf1/video/upload/v1616693075/Cuukin%20-%20Skill%20Videos/method_avotoast_4_bwetrh.mp4,2021-03-13 17:53:27 UTC,2021-03-25 17:31:21 UTC,4
9,Cut avocado,"With the flat side on the cutting board, cut the avocado into thin slices along the narrower end of the fruit.",https://res.cloudinary.com/juliaf1/video/upload/v1616693067/Cuukin%20-%20Skill%20Videos/method_avotoast_3_ynw9hr.mp4,2021-03-13 17:53:27 UTC,2021-03-25 17:31:10 UTC,3
8,Prep the avocado,"Cut: Using a chef's knife or a larger pairing knife, cut into the avocado until you hit the pit in the middle. Slowly rotate the avocado so the knife slices around the pit and you are left with two halves of the avocado with a pit on one side.

Remove pit: Method 1 (more advanced): Use the bottom end of the knife to stab the pit and twist to remove the pit. Method 2 (beginners): Use a spoon to dig the pit out.

Remove skin: Use a large spoon to dig the flesh of the fruit out, in one big scoop, wiggling left and right to get the whole fruit out in one scoop.",https://res.cloudinary.com/juliaf1/video/upload/v1616693067/Cuukin%20-%20Skill%20Videos/method_avotoast_2_y6bby3.mp4,2021-03-13 17:53:27 UTC,2021-04-29 16:43:11 UTC,2
7,Prep the bread,"If Fresh bread: Use a serrated knife to cut slices and pop them in an oven heated at 180 C.

If Pre-sliced bread: Pop two of them in a toaster or an oven at 180 C for 3-5 minutes. Take the bread slices out when they are slightly golden.",https://res.cloudinary.com/juliaf1/video/upload/v1616693046/Cuukin%20-%20Skill%20Videos/method_avotoast_1_i8xc06.mp4,2021-03-13 17:53:27 UTC,2021-04-29 16:43:20 UTC,1
6,Plate,Use the tongs to serve on your preferable plate the pasta with bits of pancetta. You can add a little black pepper on top and some grated cheese as final touches. Serve immediately.,https://res.cloudinary.com/juliaf1/video/upload/v1616693582/Cuukin%20-%20Skill%20Videos/method_carbonara_6_l80stj.mp4,2021-03-13 17:53:27 UTC,2021-03-25 17:34:20 UTC,6
5,Combine everyting,"As soon as the pasta finishes cooking, add it to the frying pan with the pancetta on medium/high heat. You may add a bit of pasta water if the pasta is not aldente. Stir it vigorously. Put the pasta with pancetta on a cold bowl/pot. Add your egg mixture, some pasta water and stir it until all pasta is covered in sauce.",https://res.cloudinary.com/juliaf1/video/upload/v1616693633/Cuukin%20-%20Skill%20Videos/method_carbonara_5_px2jcg.mp4,2021-03-13 17:53:27 UTC,2021-03-25 17:34:29 UTC,5
4,Boil the pasta,"When the water comes to a rolling boil, add your dried spaghetti. Boil it until it becomes almost al dente (1 minute before the package instruction). Separate 1 cup of the pasta water and set aside.",https://res.cloudinary.com/juliaf1/video/upload/v1616693566/Cuukin%20-%20Skill%20Videos/method_carbonara_4_xo5stx.mp4,2021-03-13 17:53:27 UTC,2021-03-25 17:34:40 UTC,4
3,Prepare the egg sauce,"On the bowl with the eggs, put the thinly grated pecorino cheese. Black pepper to taste and slighly wisk the mixture.
No salt because pancetta and pecorino are really salty.",https://res.cloudinary.com/juliaf1/video/upload/v1616693576/Cuukin%20-%20Skill%20Videos/method_carbonara_2_daqk58.mp4,2021-03-13 17:53:27 UTC,2021-04-05 19:14:53 UTC,2
2,Sautee the Guanciale,Bring a frying pan to medium/high heat. Add the diced guanciale (without oil) and sautee until browned and crispy on the outside (around 5min). Turn off the heat.,https://res.cloudinary.com/juliaf1/video/upload/v1616693585/Cuukin%20-%20Skill%20Videos/method_carbonara_3_fxjayf.mp4,2021-03-13 17:53:27 UTC,2021-04-05 19:15:22 UTC,3
1,Prep the ingredients,"On your largest pot, fill with 3/4 of water, salt it generously, put on high heat and bring it to a boil. Separate your diced guanciale (or pancetta as a great alternative). If you couldn't find it pre-sliced, dice it on 1-2cm cubes. Crack your eggs in a container and separate the yolks in a large bowl.",https://res.cloudinary.com/juliaf1/video/upload/v1616693568/Cuukin%20-%20Skill%20Videos/method_carbonara_1_rcgpox.mp4,2021-03-13 17:53:27 UTC,2021-03-25 17:35:16 UTC,1
