title,description,prep_time,photo_url,external_url
Avotoast,"An easy to make, delicious and instagrammable essential recipe to start your cuukin journey.",15,https://res.cloudinary.com/juliaf1/image/upload/v1615613809/Cuukin%20-%20Skill%20Videos/avotoast_xvg77z.png,
Chocolate Kissed Strawberries,"Amazing dessert that balances sweetness, sourness, texture and salt in a bitesize dummyproof recipe.",5,https://res.cloudinary.com/juliaf1/image/upload/v1615613803/Cuukin%20-%20Skill%20Videos/strawberryfondue_y4suz2.png,
Baked Portobello,Impress your friends with this suculent and flavourfull starter or sidedish,40,https://images.unsplash.com/photo-1473093226795-af9932fe5856?ixid=MXwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHw%3D&ixlib=rb-1.2.1&auto=format&fit=crop&w=1285&q=80,
Spaghetti Alla Carbonara,An italian classic. Creamy delicious pasta that you can make at home following simple steps.,20,https://images.unsplash.com/photo-1574926053821-79c5e338a933?ixid=MXwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHw%3D&ixlib=rb-1.2.1&auto=format&fit=crop&w=1350&q=80,
Honey Mustard Salmon,,30,https://images.unsplash.com/photo-1580476262798-bddd9f4b7369?ixid=MXwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHw%3D&ixlib=rb-1.2.1&auto=format&fit=crop&w=750&q=80,
Stuffed mushroom with sauteed spinach,,25,https://images.unsplash.com/photo-1598514983195-94d7470a4241?ixid=MXwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHw%3D&ixlib=rb-1.2.1&auto=format&fit=crop&w=750&q=80,
Chicken salad with homemade pesto,,30,https://images.unsplash.com/photo-1580013759032-c96505e24c1f?ixid=MXwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHw%3D&ixlib=rb-1.2.1&auto=format&fit=crop&w=525&q=80,
American style pancakes,,30,https://images.unsplash.com/photo-1597699401474-e8714c1b7879?ixid=MXwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHw%3D&ixlib=rb-1.2.1&auto=format&fit=crop&w=750&q=80,
Toast with smoked salmon,,,https://ichef.bbci.co.uk/food/ic/food_16x9_1600/recipes/scrambledeggandtoast_75736_16x9.jpg,https://www.bbc.co.uk/food/recipes/scrambledeggandtoast_75736
Club Sandwich,,,https://ichef.bbci.co.uk/food/ic/food_16x9_1600/recipes/club_sandwich_16496_16x9.jpg,https://www.bbc.co.uk/food/recipes/club_sandwich_16496
Mug Cake,,,https://ichef.bbci.co.uk/food/ic/food_16x9_1600/recipes/cherryandchocolateca_84273_16x9.jpg,https://www.bbc.co.uk/food/recipes/cherryandchocolateca_84273
Peanut Butter and Jam Brownies,,,https://ichef.bbci.co.uk/food/ic/food_16x9_1600/recipes/microwave_chocolate_30795_16x9.jpg,https://www.bbc.co.uk/food/recipes/microwave_chocolate_30795
Portobello with Blue Cheese,,,https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/stuffedportabellamus_85840_16x9.jpg,https://www.bbc.co.uk/food/recipes/stuffedportabellamus_85840
Baked Potato,,,https://ichef.bbci.co.uk/food/ic/food_16x9_1600/recipes/spring_onion_potato_and_84005_16x9.jpg,https://www.bbc.co.uk/food/recipes/theperfectbakedpotat_67837
Mushroom Pasta,,,https://ichef.bbci.co.uk/food/ic/food_16x9_1600/recipes/pastawithmushroomsau_83362_16x9.jpg,https://www.bbc.co.uk/food/recipes/pastawithmushroomsau_83362
Pesto Pasta,,,https://ichef.bbci.co.uk/food/ic/food_16x9_1600/recipes/pesto_pasta_45424_16x9.jpg,https://www.bbc.co.uk/food/recipes/pesto_pasta_45424